Clasificación_D,Nombre de Institución,Measure Names,Measure Values
(b) Universidades Privadas CRUCH,U. CATÓLICA DE TEMUCO,Mts2 de Inmuebles/ Matrícula Total,6.448705261
(b) Universidades Privadas CRUCH,U. CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,Mts2 de Inmuebles/ Matrícula Total,4.556965498
(b) Universidades Privadas CRUCH,U. AUSTRAL DE CHILE,Mts2 de Inmuebles/ Matrícula Total,11.775705731
(b) Universidades Privadas CRUCH,U. ALBERTO HURTADO,Mts2 de Inmuebles/ Matrícula Total,5.559405301
(b) Universidades Privadas CRUCH,PONTIFICIA U. CATÓLICA DE VALPARAÍSO,Mts2 de Inmuebles/ Matrícula Total,9.459243863
(b) Universidades Privadas CRUCH,PONTIFICIA U. CATÓLICA DE CHILE,Mts2 de Inmuebles/ Matrícula Total,10.483719698
(b) Universidades Privadas CRUCH,U. TÉCNICA FEDERICO SANTA MARÍA,Mts2 de Salas / Matrícula Total,0.574503141
(b) Universidades Privadas CRUCH,U. DIEGO PORTALES,Mts2 de Salas / Matrícula Total,1.947211102
(b) Universidades Privadas CRUCH,U. DE CONCEPCIÓN,Mts2 de Salas / Matrícula Total,0.825700097
(b) Universidades Privadas CRUCH,U. CATÓLICA DEL NORTE,Mts2 de Salas / Matrícula Total,1.314905592
(b) Universidades Privadas CRUCH,U. CATÓLICA DEL MAULE,Mts2 de Salas / Matrícula Total,0.799651568
(b) Universidades Privadas CRUCH,U. CATÓLICA DE TEMUCO,Mts2 de Salas / Matrícula Total,0.924294904
